Date,Chamber,Number,MP,Constituency,Party,Statement
02/02/2010,Commons,22,Patrick Hall,Bedford,Lab,"Mentioning the people employed in the Thameslink project helps to reinforce the point that public transport infrastructure schemes can provide much-needed employment during a recession, when the construction sector is always the first to feel the pain. I have also been informed that an additional 80 train drivers will need to be recruited to operate the additional services from around 2013 onwards. I will say something about driver vacancies and recruitment before concluding."
02/02/2010,Commons,23,Patrick Hall,Bedford,Lab,"Through written answers I have learned that the first of the new 12-car and eight-car trains is expected to be delivered by the end of 2013. There is some time to go before that happens and I hope that my long-suffering constituents will be able to stomach that wait, but at least it is coming."
02/02/2010,Commons,24,Patrick Hall,Bedford,Lab,"The programme is costing between  5.5 billion and  6 billion, which is a little more than was originally estimated. This information apparently led to briefings or leaks to The Observer newspaper, which reported on 15 November 2008 that the Thameslink programme was facing   750 million of cutbacks in a Treasury crackdown on costly infrastructure projects ù and that  According to unidentified rail industry sources, the number of trains passing through central London at peak times could be cut from 24 services per hour to 20 ù, which would be most unfortunate."
02/02/2010,Commons,25,Patrick Hall,Bedford,Lab,"There has also been speculation about the orders for the new trains and the 1,100 new carriages for the Thameslink network as a whole, which are due to be awarded either by the end of March or during the summer or autumn. I hope that we get some clarity on that situation."
02/02/2010,Commons,26,Mr. Bob Laxton,"Derby, North",Lab,"It is crucial for my constituents and for the rail industry in total that this order goes to the only UK-based train assembler or manufacturer that is left in the country. I find it ironic that after 150 years or more of the rail industry, if this order went to a company outside the UK, it could be the end of train manufacturing here in the UK and with it could go many jobs: 2,500 in Derby and 12,000 or thereabouts in the supply chain. It is crucial that this contract goes ahead and equally crucial that it is awarded to a UK-based company."
02/02/2010,Commons,27,Patrick Hall,Bedford,Lab,"I understand my honourable Friend s point and share his view. Of course, the process for dealing with bids must be above board."
02/02/2010,Commons,28,Patrick Hall,Bedford,Lab,"When Bombardier failed to deliver the 23 new train units last March I visited it and was impressed: it put its hands up, did not blame anyone else and said that it had made mistakes. In fact, some of Bombardier s suppliers had got into serious difficulties because of the recession and it took over some of the supply chain to ensure that the delivery was completed. Only two weeks ago the last of the 23 trains was delivered, which has caused all kinds of knock-on effects. I was impressed by Bombardier s positive attitude and the fact that it made no excuses whatsoever."
02/02/2010,Commons,29,Patrick Hall,Bedford,Lab,"The degree of state subsidy in railway systems around the world is an interesting question that I would happy to debate on another occasion. It is a matter of choice for Governments. Peak-time travel in this country is expensive, but off-peak travel is often much cheaper than in many other continental countries."
02/02/2010,Commons,30,Kelvin Hopkins,"Luton, North",Lab,rose 
02/02/2010,Commons,31,Patrick Hall,Bedford,Lab,"I will be speaking for a long time if I take interventions on the cost of travel to the passenger. None the less, my honourable Friend persuades me to give way."
02/02/2010,Commons,32,Kelvin Hopkins,"Luton, North",Lab,I am most grateful to my honourable Friend. I will be brief. Does he accept that a major cause of the rise in the cost of fares in Britain is privatisation? The costs of laying track have increased by five times and maintenance costs have increased by four times. That is why fares have had to rise.
02/02/2010,Commons,33,Patrick Hall,Bedford,Lab,"If my honourable Friend wishes to secure an Adjournment debate on the case for public ownership of the national asset that is the rail network, I shall be there with him."
02/02/2010,Commons,34,Patrick Hall,Bedford,Lab,"We all know that concern about public finances is high on the political agenda. The Government s deficit-reduction plan will include tough departmental cuts and the official Opposition have stated that the country has run out of money, that we face a decade of austerity and that an emergency Budget will follow within 50 days of a Conservative election victory. I state as firmly as I can that the Thameslink programme must be delivered: no delays, no dilution. It is essential on social, economic and environmental grounds. The business case depends on completion of the major works at London Bridge, which must not be cut. Indeed, it turns out that the programme is integral to supporting the economy as we emerge from the recession. If anyone doubts this, they should ask the passengers along the route, including my constituents. Up to  6 billion is a lot of money, but this is an extremely cost-effective use of money. To cut back on the final phase London Bridge would put the brake on the part of the programme that will deliver the biggest benefit. It would be short-sighted, foolish and a tragedy to do so."
02/02/2010,Commons,35,Norman Baker,Lewes,LD,"I hope that the honourable Gentleman agrees that we cannot stop-start railway projects, which are long-term projects that, once committed to, should be followed through and, if curtailed, would be a cost to the public purse. Does he agree that it would help if, prior to the election, all three parties committed to proceeding with the Thameslink programme as planned? May I say, to start the ball rolling, that the Liberal Democrats do so?"
02/02/2010,Commons,36,Patrick Hall,Bedford,Lab,"I certainly endorse that example of parties working together in the country s interests, because that is what should happen sometimes. We will have an opportunity today to hear about that if someone picks up that helpful suggestion."
02/02/2010,Commons,37,Patrick Hall,Bedford,Lab,"Before concluding with questions to the Minister, I shall speak about First Capital Connect. I appreciate that there will be an Adjournment debate on the subject tomorrow, so I need not go into great detail, as I could, but issues arise that are relevant to how trains will operate on completion of the Thameslink programme."
02/02/2010,Commons,38,Patrick Hall,Bedford,Lab,"I acknowledge the disruption, inconvenience and additional cost borne by many of my constituents and thousands of others from mid-November to the end of January. That arose principally from the decision of drivers, mostly at the Bedford depot, to work only their contracted hours, and not to volunteer to work on their rest days. That was connected with FirstGroup s decision to offer a pay award that included a 0 per cent. increase for the first year. However, negotiations were still proceeding with ASLEF, and there was no need, in terms of collective bargaining procedures, for the unofficial action. It seems that the situation was bound up with frustration owing to disruption and delay of promised training, triggered by Bombardier s failure it was not entirely its fault, as I acknowledged to deliver 23 new class 377 trains between October 2008 and March 2009, and principally because of knock-on effects of First Capital s taking on the new Bedford-Sevenoaks service. That combination created difficulties in delivering the driver training that FCC had promised. Suffice it to say that FCC must now demonstrate to the public and the Government that it will get on top of its industrial relations and help to restore the good will that is essential to running the railway."
02/02/2010,Commons,39,David Lepper,"Brighton, Pavilion",Lab/Co-op,"Does my honourable Friend agree that First Capital Connect should have been swifter in coming forward with a compensation package for regular travellers on the line, and does he share my hope that even now it will widen the scope of that package?"
02/02/2010,Commons,40,Patrick Hall,Bedford,Lab,"Because things were happening so fast daily, and with the exceptional weather, it was probably difficult to please everyone instantly. People always want more compensation, and the latest offer, which I believe is about to go online, is much more generous than was mooted earlier. Some of my constituents may not be happy with it, but on balance I have concluded that the compensation package is now reasonable and fair. FCC has taken on additional staff to cope with the demands and claims, and I believe that it is determined to learn lessons for industrial relations and compensation from its dreadful experience."
02/02/2010,Commons,41,Patrick Hall,Bedford,Lab,"The period during which drivers started to work to contract, leading to the emergency timetable and the 50 per cent. reduction in the service from Bedford, led to all sorts of claims about driver numbers and vacancies. I have heard all sorts of suggestions about the number of unfilled vacancies, which I have not yet got to the bottom of, but I am determined to do so, and it is in the public interest that the House does so. Whatever Department for Transport officials say is commercially confidential, I ask the industry to be clear and open with the public, because that will help to restore confidence."
02/02/2010,Commons,42,Patrick Hall,Bedford,Lab,"When FCC took over the franchise in 2006, it proceeded to recruit 30 extra drivers 13 were recruited after April 2009, and 16 more were recruited after November beyond the normal recruitment level needed to cope with retirement and so on. The extra trains integral to the Thameslink service will generate further recruitment needs. I have been assured that FCC has in place mechanisms to review the establishment regularly to ensure that the enhanced service made possible by the Thameslink programme is delivered."
02/02/2010,Commons,43,Patrick Hall,Bedford,Lab,"FCC must acknowledge that the difficulties created for passengers by the drivers  work-to-contract episode, and later the snow and ice, were greatly exacerbated by an incompetent communications system. Again, I am confident that lessons have been learned, and that improvements will be made over the next several months. FCC is spending money on that. I have referred to the point about compensation made by my honourable Friend the Member for Luton, North."
02/02/2010,Commons,44,Patrick Hall,Bedford,Lab,"I shall conclude with some questions to the Minister. Will he confirm the Government s unwavering commitment to completion of the whole of the Thameslink project as already programmed? Will he tell me, now or later, what proportion of the overall benefit will be delivered by completion of phase 3, which is officially, if clumsily, known as key output 2 that is, London Bridge? Will he tell me why delivery of the 1,100 new carriages in the form of 12-car and 8-car units does not coincide with the planned completion of the Thameslink programme? The latter is 2012, but the new trains are apparently due at the end of 2013. Will the Minister confirm when the preferred bidder to supply the new trains will be announced, and when the contract will be placed?"
02/02/2010,Commons,45,Patrick Hall,Bedford,Lab,"The Minister will know that First Capital Connect encountered further problems during the cold weather because the sliding doors on the class 319 units froze tight due to snow penetration. That did not happen throughout the network on trains fitted with plug doors. As the 1,100 new carriages will have sliding and not plug doors, will he reconsider that specification?"
02/02/2010,Commons,46,Patrick Hall,Bedford,Lab,"FCC is addressing the need for improvements that it can deliver on passenger and station staff information, but industry-wide issues are being examined by the Minister s Department, with Network Rail and train operators as a whole. Is he in a position to apprise me and the House of progress and a programme of action? "
02/02/2010,Commons,47,Patrick Hall,Bedford,Lab,"Will my honourable Friend tell me what might happen to the Bedford depot and sidings when the 12-car trains are introduced? I understand that there is insufficient space to accommodate trains of that length, which are of the fixed formation type, so they cannot be broken up."
02/02/2010,Commons,48,Patrick Hall,Bedford,Lab,"Finally, it is in the public interest to know about passenger numbers."
02/02/2010,Commons,49,Patrick Hall,Bedford,Lab,"There is always more to add, but despite the problems of the past two and a half months, we are approaching a time when the congestion and overcrowding of the past 20 years will be overcome. That is good and positive news, and an outcome to which I hope everyone is committed."
02/02/2010,Commons,50,Several honourable Members,NA,NA,rose 
02/02/2010,Commons,51,Mr. Edward O'Hara,in the Chair,NA,Order. I remind honourable Members who wish to contribute to the debate that the Front-Bench contributions must start not later than 12 o clock.
02/02/2010,Commons,52,Mr. John Horam,Orpington,Con,"I congratulate the honourable Member for Bedford on securing this debate. He is an energetic chairman of the all-party group on the Thameslink route, and I am an enthusiastic supporter of that group. As he said, the core part of that important project is the bit between St. Pancras and Blackfriars, but the third stage, to which he referred, is the improvements that we will get up to 2015 unfortunately rather a long way away to the Borough market junction and London Bridge station, which are equally important to the project. I am an enthusiastic supporter of the project because I represent people in south London and Orpington who use that service. As the honourable Gentleman knows, there have been huge problems with congestion of services through London Bridge station over many years because of the historical bottleneck resulting from unplanned development of railways during the 19th century. The problem was not tackled during the 20th century, and it is amazing that we have had to wait until the 21st century."
02/02/2010,Commons,53,Mr. John Horam,Orpington,Con,"Perhaps I can read out a short section of a letter that amply exemplifies the problems faced by my constituents. On 8 January, a lady wrote to Southeastern Trains about a train journey that took place between London Bridge and Orpington on 7 January:"
02/02/2010,Commons,54,Mr. John Horam,Orpington,Con,"I wish to make a strong complaint about the overcrowding on the above train I was unable to move or breathe easily. It was not possible to remove my hat, gloves or answer my mobile phonourable. With lots of layers of clothing on and my coat ù  obviously, January 7 was a very cold day   I was unable to stop myself from overheating. I can honourablestly say you were lucky no one was injured in my carriage...There was no security or help from the platform before leaving London Bridge Thoughts were going through my mind of the Heysel stadium ù."
02/02/2010,Commons,55,Mr. John Horam,Orpington,Con,"It does get that bad on some of these overcrowded commuter trains at certain times of day or night. That letter, written this year, indicates the daily problems that my constituents are facing, which, hopefully, will be alleviated in years to come by the Thameslink programme."
02/02/2010,Commons,56,Mr. John Horam,Orpington,Con,"The problem is not simply one of overcrowding on a daily basis, but of some of the choices that the Southeastern Trains operating company has to make. For example, it has had to cancel the only services between Orpington, Petts Wood and New Cross an important area of employment for my constituents with Goldsmiths college and so on to put in a new service to Lewisham to serve Canary Wharf. Obviously, Canary Wharf is also a source of employment for my constituents, but Southeastern Trains has had to choose between the two because the capacity constraints on that line are such that there cannot be both. That is frankly ridiculous in the 21st century."
02/02/2010,Commons,57,Mr. John Horam,Orpington,Con,"That is the overcrowding problem that we face. As we know, the notes sent out by Network Rail for this debate stated:"
02/02/2010,Commons,58,Mr. John Horam,Orpington,Con," The track and signalling around London Bridge is the most complicated and congested in Europe. By   untangling  the rail infrastructure at London Bridge we can deliver the massive capacity increase that 100,000s of passengers need and a high frequency service through central London. ù."
02/02/2010,Commons,59,Mr. John Horam,Orpington,Con,"That is what we are looking for. I appreciate the point made by the honourable Member for North Southwark and Bermondsey (Simon Hughes) who is also a member of the all-party group on the Thameslink route about the serious conflict between Borough market and the needs of passenger services in that area. It is a great pity that the problem has had to be resolved with some disadvantage to Borough market. The market is a wonderful piece of London s heritage, and although the solution that has been reached means some truncation of Borough market, I hope that it will none the less mean that the service can provide for what is an important part of south-east London s history."
02/02/2010,Commons,60,Simon Hughes,North Southwark and Bermondsey,LD,"I am grateful for the honourable Gentleman s sensitive reference to that issue. Only time will tell, although we will lose some listed buildings and the whole configuration will be different. I accept the case for having more lines to London Bridge, but the only issue that has not yet been resolved is that of ensuring that the South London line has enough platforms and can continue its loop round from Victoria. The Minister is aware of that point, as I have been to see him. That is the one remaining piece of engineering organisation that, if it could be resolved, would considerably help people in our part of the world."
02/02/2010,Commons,61,Mr. John Horam,Orpington,Con,"I am sure that the Minister will hear what the honourable Gentleman has said. The final point made by the honourable Member for Bedford, quite rightly, is that this programme should not be cut. The honourable Member for Lewes (Norman Baker) strongly supported that, and it is certainly uppermost in our minds. This programme should not be cut and we should be committed to it."
02/02/2010,Commons,62,Mr. John Horam,Orpington,Con,"Unfortunately, I must point out to the honourable Member for Bedford that his Government have presided over an economic crisis that has led to the spending of billions of pounds that could otherwise go towards this sort of infrastructure. Equally, they have squandered public funds on a heroic perhaps I should say unheroic scale, as a result of which, productivity in the public sector has gone down. There is a problem that we must face realistically."
02/02/2010,Commons,63,Mr. John Horam,Orpington,Con,"The sort of solution we need was set out on 26 January in the Financial Times, which pointed out that the Chancellor of the Exchequer has already announced cuts in capital expenditure of about one half over the next four or five years. Our worry is that the project under discussion could be included in that sort of cut. It was pointed out that we could match up the funds of the pensions industry, for example, which need long-term revenue to service, with the income flows from such transport infrastructure. That could provide an alternative source of financing for these big projects, apart from public sector funds. Unfortunately, we have a rather unhappy history with the private finance initiative, which, again, has not been handled well by the Government. If we are to save such projects, alternative ways of financing the transport infrastructure must be taken into account and used imaginatively. It is vital that such projects go ahead."
02/02/2010,Commons,64,Mr. John Horam,Orpington,Con,"Recently, I was on a trip with the Foreign Affairs Committee to Madrid and Lisbon, and I saw for myself the effect on a capital city of modern transport services and roads of course, in those cases there was access to large amounts of European Union funds. One can see the galvanising effect that that sort of infrastructure has on quality of life, as well as on the economic performance of those cities. London desperately needs that sort of spending on such schemes. That is why I am an enthusiastic member of the all-party group on the Thameslink route, and I hope that the scheme will go ahead in its entirety."
02/02/2010,Commons,65,Kelvin Hopkins,"Luton, North",Lab,"I shall try to be as brief as possible to enable other honourable Members to speak. First, I congratulate my honourable Friend and my genuine friend the Member for Bedford (Patrick Hall) on securing the debate and on what he has said today. Like him, I am a massive enthusiast of railways in general, and the modernisation of Thameslink in particular. I have thousands of constituents who, like my honourable Friend, travel every day by Thameslink. I have been a commuter on that line for the past 41 years, and I still use it every day. Therefore, I know the problem. Some years ago, I think I had an influence in persuading Ministers to build the box station at St. Pancras International, pointing out that if we had not done that, Eurostar services would have been seriously damaged. The line is a serious provider of passengers straight on to Eurostar. Because of that box station, those of us who live on the Thameslink line can pop over to Paris at short notice something I have done myself."
02/02/2010,Commons,66,Kelvin Hopkins,"Luton, North",Lab,"The improvement of the through-London service is excellent and vital, and I am happy about the concept. However, I must raise some concerns about the engineering and the technology. Friends of mine in the industry engineers in particular have said that there are serious problems. From time to time I read magazines such as Modern Railways, which give me a bit of insight into how things work. Trying to get 24 trains through that middle section is a major problem. That is a large number of trains, and it is not a simple through-route. There are two routes feeding in from GNER and from the midlands to King s Cross and St. Pancras. Sequencing all those trains and ensuring that they get through on time and can stop, offload, onload and move on will be a serious problem."
02/02/2010,Commons,67,Kelvin Hopkins,"Luton, North",Lab,"To an extent, that has been partly recognised, but there are other problems. That section of the line has some of the steepest gradients in the country. Will we have sufficient power to allow trains to get through those gradients sufficiently quickly? I understand that most trains have eight driven axles for a four-car unit, but we may need to increase the number of driven axles which increases costs to ensure that trains can cope with those gradients at sufficient speed to get through the system."
02/02/2010,Commons,68,Kelvin Hopkins,"Luton, North",Lab,"The switchover from overhead AC power lines to third-rail DC drive also takes time. I see that every day at Farringdon. That is another potential problem that can slow trains down. As I have said, that has been recognised to an extent. There is some suggestion of having automatic train operation between Kentish Town and Blackfriars. Automatic train operation has not been tried in Britain on a mainline service. It is used on the Victoria line, but not elsewhere. It has not been tried, and certainly not on a complex system such as Thameslink, where there are two railway lines coming into one at St. Pancras. Automatic operation in a dry, straight tunnel with no complications is one thing, but where there are problems with weather such as wet track, leaf fall or frost if some of the track is exposed, something called defensive braking will be required in the automatic operation to ensure that the trains do not slip and that they get through. Again, that could cause delay and would certainly add enormous costs."
02/02/2010,Commons,69,Kelvin Hopkins,"Luton, North",Lab,"I therefore suggest to my honourable Friend the Minister that what we need at this stage, before things go wrong and we say,  Oh dear, we cannot deal with this; there is a problem, is a thorough review of all the engineering problems in the system by BR-trained engineers in all the specialisms required, not by project managers and people who have little experience in railways, and without pressure from Network Rail or contractors to gloss over details. We must get this right, and I ask the Minister to secure a thorough engineering review by an independent group of engineers with all the necessary skills to ensure that we do not make mistakes and that we get it right."
02/02/2010,Commons,70,Chris Mole,The Parliamentary Under-Secretary of State for Transport,Lab,"I hope to be able to advise my honourable Friend. This might not negate the need for the engineering review that he is calling for, but I understand that the intention is to have a section of track available to test the automatic train operation technologies well in advance of any intention to implement them."
02/02/2010,Commons,71,Kelvin Hopkins,"Luton, North",Lab,"I thank my honourable Friend for that. It is welcome. One other point is that there are signalling and electrical power problems. Already there have been line-side fires in the tunnel between Farringdon and City Thameslink. That, I understand, is caused by arcing from the third rails, because the delivery for electricity to those tracks is at one end of that section of track rather than, typically, in the centre, which means that the voltages must be higher to drive the current longer distances. Those points have been made to me by engineers who understand these things I have some technical knowledge myself and they are serious matters. If one line-side fire stops 24 trains an hour, a two-hour blockage stops 48 trains, and if 48 12-car trains are suddenly stopped, we have a real crisis. We cannot afford to have things going wrong on a line of this importance any more than we could afford serious problems on some of the major underground routes. At least sometimes there are alternatives to underground routes. There may not be alternatives for Thameslink. I have raised those matters with the Minister to ensure that he is aware that there are potential engineering problems and to ask him to investigate the possibility of having a thorough review."
02/02/2010,Commons,72,Simon Hughes,North Southwark and Bermondsey,LD,"I am grateful to the honourable Member for Bedford for the opportunity provided by the debate. I shall make just a short contribution, but I am one of those colleagues who have been involved in all the discussions about Thameslink for many years. I just gently say that of course the project used to be called Thameslink 2000; we have slipped a little in relation to its delivery."
02/02/2010,Commons,73,Simon Hughes,North Southwark and Bermondsey,LD,"I want to make several points. One is that at the fantastic new St. Pancras station I agree about how wonderful it is there is still, for both British and international travellers, some confusion about which lines run from where. Obviously, the Eurostar is clearly signed, but it is not entirely clear, from all entrances, where people should catch other services from, and that information can be crucial to people s timetabling and their ability to get from ticket office to train and from one line to another. Although that is not directly a Thameslink responsibility, it is relevant to users of Thameslink and interconnecting passengers, so I make a plea that Thameslink use its good influence, and that Network Rail and those who manage St. Pancras also act, to ensure that there is a clear set of signs so that people can be clear about which trains leave from the upper level, about which trains leave from the lower level at the back and about Eurostar."
02/02/2010,Commons,74,"Secondly, in relation to London Bridge, which is the biggest issue affecting my constituency and has been referred to already by the honourable Members for Bedford and for Orpington","Mr. Horam , I shall not refight the battle that we fought. We argued that there was an alternative route that might have been a good one either the Herne Hill route or a new route by a new bridge over the Thames. That could have avoided the problem of having to demolish many listed buildings at London Bridge. However, it is important that as part of the new project London Bridge station is reconstructed. I think that it is still the station in London that has most passengers through it every day. It is phenomenally busy and congested, and many of the trains into and out of it are, as the honourable Member for Orpington rightly pointed out, phenomenally busy and congested. That can be very unpleasant and, indeed, dangerous.",NA,"The local community that lives around the station will have to pay the price of all the works, which have started on the site next door. The tallest building in London is being built there at the moment. I am referring to the Shard of Glass at London Bridge. The community is signed up to that project, on the understanding that phase 1 will be completed before 2012. There will be a pause during the Olympic period and there will be a second phase after that. I absolutely endorse the plea from the honourable Member for Bedford and others that we do not see the project grind to a halt after phase 1. I am very grateful for the commitment by my honourable Friend the Member for Lewes (Norman Baker) that makes clear the importance that we attach to the completion after 2012 of the rest of the project."
